op,dtype,layout,mem,bcast,accepted,pcc_or_reason,input_range,pcc,ulp
acos,uint32,rm,height,none,OK,fail,[1..49],1.000000,
acos,uint32,rm,l1,none,OK,fail,[1..49],1.000000,
acos,uint32,rm,width,none,OK,fail,[1..49],1.000000,
acos,uint32,tile,block,none,OK,fail,[1..49],1.000000,
acos,uint32,tile,dram,none,OK,fail,[1..49],1.000000,
acos,uint32,tile,height,none,OK,fail,[1..49],1.000000,
acos,uint32,tile,l1,none,OK,fail,[1..49],1.000000,
acos,uint32,tile,width,none,OK,fail,[1..49],1.000000,
acos,uint8,rm,block,none,OK,fail,[1..49],1.000000,
acos,uint8,rm,dram,none,OK,fail,[1..49],1.000000,
acos,uint8,rm,height,none,OK,fail,[1..49],1.000000,
acos,uint8,rm,l1,none,OK,fail,[1..49],1.000000,
acos,uint8,rm,width,none,OK,fail,[1..49],1.000000,
acos,uint8,tile,block,none,OK,fail,[1..49],1.000000,
acos,uint8,tile,dram,none,OK,fail,[1..49],1.000000,
acos,uint8,tile,height,none,OK,fail,[1..49],1.000000,
acos,uint8,tile,l1,none,OK,fail,[1..49],1.000000,
acos,uint8,tile,width,none,OK,fail,[1..49],1.000000,
acos_bw,bfloat16,rm,block,none,OK,pass,[0.1..0.85],0.999983,1.000
acos_bw,bfloat16,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/ternary/device/ternary_device_operation.cpp:369: input_a.layout() == Layout::TILE | info: | Ternary operation requires tensor to be in Tile layout when working with non-sharded input tensor. Input tensor layout: 0,[0.1..0.85],,
acos_bw,bfloat16,rm,height,none,OK,pass,[0.1..0.85],0.999984,1.000
acos_bw,bfloat16,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/ternary/device/ternary_device_operation.cpp:369: input_a.layout() == Layout::TILE | info: | Ternary operation requires tensor to be in Tile layout when working with non-sharded input tensor. Input tensor layout: 0,[0.1..0.85],,
acos_bw,bfloat16,rm,width,none,OK,pass,[0.1..0.85],0.999983,1.000
acos_bw,bfloat16,tile,block,none,OK,pass,[0.1..0.85],0.999984,2.000
acos_bw,bfloat16,tile,dram,none,OK,pass,[0.1..0.85],0.999983,1.000
acos_bw,bfloat16,tile,height,none,OK,pass,[0.1..0.85],0.999985,1.000
acos_bw,bfloat16,tile,l1,none,OK,pass,[0.1..0.85],0.999983,1.000
acos_bw,bfloat16,tile,width,none,OK,pass,[0.1..0.85],0.999983,2.000
