op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
acosh,bfloat16,rm,l1,OK,pass,[1.1..5.0],0.999976,1.000
acosh,bfloat8_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,bfloat4_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,float32,rm,l1,OK,pass,[1.1..5.0],0.999999,39225.000
acosh,int32,rm,l1,OK,fail,[1..49],,
acosh,uint32,rm,l1,OK,fail,[1..49],,
acosh,uint16,rm,l1,OK,fail,[1..49],,
acosh,uint8,rm,l1,OK,fail,[1..49],,
acosh,bfloat16,rm,height,OK,pass,[1.1..5.0],0.999978,1.000
acosh,bfloat8_b,rm,height,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,bfloat4_b,rm,height,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,float32,rm,height,OK,pass,[1.1..5.0],0.999999,38856.000
acosh,int32,rm,height,OK,fail,[1..49],,
acosh,uint32,rm,height,OK,fail,[1..49],,
acosh,uint16,rm,height,OK,fail,[1..49],,
acosh,uint8,rm,height,OK,fail,[1..49],,
acosh,bfloat16,rm,width,OK,pass,[1.1..5.0],0.999979,1.000
acosh,bfloat8_b,rm,width,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,bfloat4_b,rm,width,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,float32,rm,width,OK,pass,[1.1..5.0],0.999999,39376.000
acosh,int32,rm,width,OK,fail,[1..49],,
acosh,uint32,rm,width,OK,fail,[1..49],,
acosh,uint16,rm,width,OK,fail,[1..49],,
acosh,uint8,rm,width,OK,fail,[1..49],,
acosh,bfloat16,rm,block,OK,pass,[1.1..5.0],0.999977,1.000
